vars,id,creation_time,failed,failed_reason,time_of_death,type,participant_id,question,answer,page_type,successful_validation,client_ip_address,metadata_,class,object_type
{},11,2026-06-15 10:11:00,False,,,Response,2,color_trial,229,ColorSliderPage,True,127.0.0.1,"{""controller"": ""ai"", ""prompt_template_version"": ""gibbs-hybrid-v1"", ""model"": ""openai/gpt-4o-mini"", ""mock_mode"": true, ""parser_status"": ""mock"", ""retries"": 0, ""latency_seconds"": 0.0, ""time_taken"": 5, ""prompt"": {}, ""selected_idx"": 2, ""starting_values"": [59, 141, 198], ""stimulus"": {""target"": ""banana"", ""participant_group"": ""A"", ""starting_values"": {""red"": 59, ""green"": 141, ""blue"": 198}, ""active_color"": ""blue"", ""active_index"": 2, ""min_value"": 0, ""max_value"": 255}}",Response,_Response
{},12,2026-06-15 10:11:01,False,,,Response,2,info,,InfoPage,True,127.0.0.1,"{""prompt"": {}, ""control"": {}, ""time_taken"": 5}",Response,_Response
{},13,2026-06-15 10:11:01,False,,,Response,2,liked_experiment,I'm a bot so I don't really have feelings...,LikedExperiment,True,127.0.0.1,"{""time_taken"": 5, ""prompt"": {}, ""control"": {""one_line"": true, ""width"": null, ""height"": null, ""text_align"": ""left"", ""block_copy_paste"": false}}",Response,_Response
{},14,2026-06-15 10:11:01,False,,,Response,2,find_experiment_difficult,I'm a bot so I found it pretty easy...,FoundExperimentDifficult,True,127.0.0.1,"{""time_taken"": 5, ""prompt"": {}, ""control"": {""one_line"": true, ""width"": null, ""height"": null, ""text_align"": ""left"", ""block_copy_paste"": false}}",Response,_Response
{},15,2026-06-15 10:11:01,False,,,Response,1,color_trial,192.008700870087,ColorSliderPage,True,127.0.0.1,"{""time_taken"": 0.274, ""platform"": ""Chrome 148.0.0.0 (headless) on Linux 64-bit"", ""download_speed_megabits_per_sec"": 1.4, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2026-06-15T10:11:01.352Z"", ""info"": null}, {""eventType"": ""sliderMinimalInteractions"", ""localTime"": ""2026-06-15T10:11:01.353Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2026-06-15T10:11:01.353Z"", ""info"": null}, {""eventType"": ""sliderMinimalInteractions"", ""localTime"": ""2026-06-15T10:11:01.354Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2026-06-15T10:11:01.354Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2026-06-15T10:11:01.358Z"", ""info"": null}, {""eventType"": ""sliderMinimalTime"", ""localTime"": ""2026-06-15T10:11:01.358Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2026-06-15T10:11:01.366Z"", ""info"": null}, {""eventType"": ""sliderChange"", ""localTime"": ""2026-06-15T10:11:01.414Z"", ""info"": {""outputValue"": ""192.008700870087""}}], ""rawValue"": 192.008700870087, ""outputValue"": 192.008700870087, ""phase"": 0, ""comments"": [], ""prompt"": {}, ""selected_idx"": 2, ""starting_values"": [59, 141, 115], ""stimulus"": {""target"": ""banana"", ""participant_group"": ""A"", ""starting_values"": {""red"": 59, ""green"": 141, ""blue"": 115}, ""active_color"": ""blue"", ""active_index"": 2, ""min_value"": 0, ""max_value"": 255}}",Response,_Response
{},16,2026-06-15 10:11:01,False,,,Response,2,encountered_technical_problems,No technical problems.,EncounteredTechnicalProblems,True,127.0.0.1,"{""time_taken"": 5, ""prompt"": {}, ""control"": {""one_line"": true, ""width"": null, ""height"": null, ""text_align"": ""left"", ""block_copy_paste"": false}}",Response,_Response
{},17,2026-06-15 10:11:02,False,,,Response,2,SuccessfulEndLogic,Finish,ModularPage,True,127.0.0.1,"{""choices"": [""Finish""], ""labels"": [""Finish""], ""time_taken"": 0.0, ""prompt"": {}, ""control"": {""choices"": [""Finish""], ""labels"": {""py/id"": 5}}}",Response,_Response
{},18,2026-06-15 10:11:02,False,,,Response,1,color_trial,32.005700570057,ColorSliderPage,True,127.0.0.1,"{""time_taken"": 0.321, ""platform"": ""Chrome 148.0.0.0 (headless) on Linux 64-bit"", ""download_speed_megabits_per_sec"": 1.4, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2026-06-15T10:11:02.007Z"", ""info"": null}, {""eventType"": ""sliderMinimalInteractions"", ""localTime"": ""2026-06-15T10:11:02.010Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2026-06-15T10:11:02.010Z"", ""info"": null}, {""eventType"": ""sliderMinimalInteractions"", ""localTime"": ""2026-06-15T10:11:02.010Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2026-06-15T10:11:02.010Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2026-06-15T10:11:02.015Z"", ""info"": null}, {""eventType"": ""sliderMinimalTime"", ""localTime"": ""2026-06-15T10:11:02.015Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2026-06-15T10:11:02.023Z"", ""info"": null}, {""eventType"": ""sliderChange"", ""localTime"": ""2026-06-15T10:11:02.124Z"", ""info"": {""outputValue"": ""32.005700570057""}}], ""rawValue"": 32.005700570057, ""outputValue"": 32.005700570057, ""phase"": 0, ""comments"": [], ""prompt"": {}, ""selected_idx"": 1, ""starting_values"": [193, 29, 56], ""stimulus"": {""target"": ""rock"", ""participant_group"": ""A"", ""starting_values"": {""red"": 193, ""green"": 29, ""blue"": 56}, ""active_color"": ""green"", ""active_index"": 1, ""min_value"": 0, ""max_value"": 255}}",Response,_Response
{},19,2026-06-15 10:11:03,False,,,Response,1,color_trial,95.991599159916,ColorSliderPage,True,127.0.0.1,"{""time_taken"": 0.449, ""platform"": ""Chrome 148.0.0.0 (headless) on Linux 64-bit"", ""download_speed_megabits_per_sec"": 1.4, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2026-06-15T10:11:02.597Z"", ""info"": null}, {""eventType"": ""sliderMinimalInteractions"", ""localTime"": ""2026-06-15T10:11:02.598Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2026-06-15T10:11:02.598Z"", ""info"": null}, {""eventType"": ""sliderMinimalInteractions"", ""localTime"": ""2026-06-15T10:11:02.599Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2026-06-15T10:11:02.599Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2026-06-15T10:11:02.603Z"", ""info"": null}, {""eventType"": ""sliderMinimalTime"", ""localTime"": ""2026-06-15T10:11:02.603Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2026-06-15T10:11:02.611Z"", ""info"": null}, {""eventType"": ""sliderChange"", ""localTime"": ""2026-06-15T10:11:02.833Z"", ""info"": {""outputValue"": ""95.991599159916""}}], ""rawValue"": 95.991599159916, ""outputValue"": 95.991599159916, ""phase"": 0, ""comments"": [], ""prompt"": {}, ""selected_idx"": 1, ""starting_values"": [193, 29, 56], ""stimulus"": {""target"": ""rock"", ""participant_group"": ""A"", ""starting_values"": {""red"": 193, ""green"": 29, ""blue"": 56}, ""active_color"": ""green"", ""active_index"": 1, ""min_value"": 0, ""max_value"": 255}}",Response,_Response
{},20,2026-06-15 10:11:03,False,,,Response,1,color_trial,160.00300030003,ColorSliderPage,True,127.0.0.1,"{""time_taken"": 0.444, ""platform"": ""Chrome 148.0.0.0 (headless) on Linux 64-bit"", ""download_speed_megabits_per_sec"": 1.4, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2026-06-15T10:11:03.319Z"", ""info"": null}, {""eventType"": ""sliderMinimalInteractions"", ""localTime"": ""2026-06-15T10:11:03.320Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2026-06-15T10:11:03.320Z"", ""info"": null}, {""eventType"": ""sliderMinimalInteractions"", ""localTime"": ""2026-06-15T10:11:03.320Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2026-06-15T10:11:03.320Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2026-06-15T10:11:03.324Z"", ""info"": null}, {""eventType"": ""sliderMinimalTime"", ""localTime"": ""2026-06-15T10:11:03.325Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2026-06-15T10:11:03.333Z"", ""info"": null}, {""eventType"": ""sliderChange"", ""localTime"": ""2026-06-15T10:11:03.551Z"", ""info"": {""outputValue"": ""160.00300030003""}}], ""rawValue"": 160.00300030003, ""outputValue"": 160.00300030003, ""phase"": 0, ""comments"": [], ""prompt"": {}, ""selected_idx"": 2, ""starting_values"": [63, 63, 31], ""stimulus"": {""target"": ""carrot"", ""participant_group"": ""A"", ""starting_values"": {""red"": 63, ""green"": 63, ""blue"": 31}, ""active_color"": ""blue"", ""active_index"": 2, ""min_value"": 0, ""max_value"": 255}}",Response,_Response
{},21,2026-06-15 10:11:04,False,,,Response,1,color_trial,223.988898889889,ColorSliderPage,True,127.0.0.1,"{""time_taken"": 0.496, ""platform"": ""Chrome 148.0.0.0 (headless) on Linux 64-bit"", ""download_speed_megabits_per_sec"": 1.4, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2026-06-15T10:11:03.999Z"", ""info"": null}, {""eventType"": ""sliderMinimalInteractions"", ""localTime"": ""2026-06-15T10:11:03.999Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2026-06-15T10:11:04.000Z"", ""info"": null}, {""eventType"": ""sliderMinimalInteractions"", ""localTime"": ""2026-06-15T10:11:04.000Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2026-06-15T10:11:04.000Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2026-06-15T10:11:04.004Z"", ""info"": null}, {""eventType"": ""sliderMinimalTime"", ""localTime"": ""2026-06-15T10:11:04.004Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2026-06-15T10:11:04.012Z"", ""info"": null}, {""eventType"": ""sliderChange"", ""localTime"": ""2026-06-15T10:11:04.271Z"", ""info"": {""outputValue"": ""223.988898889889""}}], ""rawValue"": 223.988898889889, ""outputValue"": 223.988898889889, ""phase"": 0, ""comments"": [], ""prompt"": {}, ""selected_idx"": 1, ""starting_values"": [74, 94, 99], ""stimulus"": {""target"": ""tree"", ""participant_group"": ""A"", ""starting_values"": {""red"": 74, ""green"": 94, ""blue"": 99}, ""active_color"": ""green"", ""active_index"": 1, ""min_value"": 0, ""max_value"": 255}}",Response,_Response
{},22,2026-06-15 10:11:05,False,,,Response,1,info,,InfoPage,True,127.0.0.1,"{""time_taken"": 0.755, ""platform"": ""Chrome 148.0.0.0 (headless) on Linux 64-bit"", ""download_speed_megabits_per_sec"": 1.4, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2026-06-15T10:11:04.725Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2026-06-15T10:11:04.727Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2026-06-15T10:11:04.727Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2026-06-15T10:11:04.731Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2026-06-15T10:11:04.732Z"", ""info"": null}], ""comments"": [], ""prompt"": {}, ""control"": {}}",Response,_Response
{},23,2026-06-15 10:11:06,False,,,Response,1,liked_experiment,,LikedExperiment,True,127.0.0.1,"{""time_taken"": 0.199, ""platform"": ""Chrome 148.0.0.0 (headless) on Linux 64-bit"", ""download_speed_megabits_per_sec"": 1.4, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2026-06-15T10:11:05.830Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2026-06-15T10:11:05.831Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2026-06-15T10:11:05.831Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2026-06-15T10:11:05.835Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2026-06-15T10:11:05.836Z"", ""info"": null}], ""comments"": [], ""prompt"": {}, ""control"": {""one_line"": true, ""width"": null, ""height"": null, ""text_align"": ""left"", ""block_copy_paste"": false}}",Response,_Response
{},24,2026-06-15 10:11:06,False,,,Response,1,find_experiment_difficult,,FoundExperimentDifficult,True,127.0.0.1,"{""time_taken"": 0.347, ""platform"": ""Chrome 148.0.0.0 (headless) on Linux 64-bit"", ""download_speed_megabits_per_sec"": 1.4, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2026-06-15T10:11:06.229Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2026-06-15T10:11:06.231Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2026-06-15T10:11:06.231Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2026-06-15T10:11:06.235Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2026-06-15T10:11:06.236Z"", ""info"": null}], ""comments"": [], ""prompt"": {}, ""control"": {""one_line"": true, ""width"": null, ""height"": null, ""text_align"": ""left"", ""block_copy_paste"": false}}",Response,_Response
{},25,2026-06-15 10:11:07,False,,,Response,1,encountered_technical_problems,,EncounteredTechnicalProblems,True,127.0.0.1,"{""time_taken"": 0.344, ""platform"": ""Chrome 148.0.0.0 (headless) on Linux 64-bit"", ""download_speed_megabits_per_sec"": 1.4, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2026-06-15T10:11:06.785Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2026-06-15T10:11:06.787Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2026-06-15T10:11:06.787Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2026-06-15T10:11:06.791Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2026-06-15T10:11:06.792Z"", ""info"": null}], ""comments"": [], ""prompt"": {}, ""control"": {""one_line"": true, ""width"": null, ""height"": null, ""text_align"": ""left"", ""block_copy_paste"": false}}",Response,_Response
{},26,2026-06-15 10:11:07,False,,,Response,1,SuccessfulEndLogic,Finish,ModularPage,True,127.0.0.1,"{""time_taken"": 0.319, ""platform"": ""Chrome 148.0.0.0 (headless) on Linux 64-bit"", ""download_speed_megabits_per_sec"": 1.4, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2026-06-15T10:11:07.358Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2026-06-15T10:11:07.360Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2026-06-15T10:11:07.360Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2026-06-15T10:11:07.364Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2026-06-15T10:11:07.364Z"", ""info"": null}, {""eventType"": ""pushButtonClicked"", ""localTime"": ""2026-06-15T10:11:07.651Z"", ""info"": {""buttonId"": ""Finish""}}], ""comments"": [], ""prompt"": {}, ""control"": {""choices"": [""Finish""], ""labels"": {""py/id"": 12}}}",Response,_Response
