_initial_assets,vars,id,creation_time,failed,failed_reason,time_of_death,type,origin_id,network_id,contents,complete,node_id,participant_id,module_state_id,trial_maker_id,definition,finalized,is_repeat_trial,score,performance_reward,parent_trial_id,answer,propagate_failure,response_id,repeat_trial_index,n_repeat_trials,time_taken,time_credit_before_trial,time_credit_after_trial,time_credit_from_trial,progress_before_trial,progress_after_trial,async_post_trial_required,async_post_trial_requested,async_post_trial_complete,async_post_trial_failed,block_position,block,class,object_type,initial_vector,initial_index,active_index,reverse_scale,updated_vector,profile_metadata,async_post_trial_completed,vector
{},"{""profile_metadata"": {""bot_profile"": ""random"", ""participant_id"": 2, ""participant_group"": ""A"", ""target"": ""banana"", ""active_channel"": ""green"", ""active_index"": 1, ""starting_values"": [205, 194, 146], ""submitted_channel_response"": 9, ""response_distance_from_start"": 185}, ""async_post_trial_completed"": true}",11,2026-06-15 09:30:19,False,,,CustomTrial,7,7,,True,7,2,3,gibbs_demo,"{""vector"": [205, 194, 146], ""initial_index"": 1, ""active_index"": 1, ""reverse_scale"": false}",True,False,,0.0,13.0,9,False,18,,,5.0,20.0,25.0,5.0,0.3333333333333333,0.41666666666666663,True,True,True,False,0,default,CustomTrial,Info,"[205, 194, 146]",1,1,False,"[205, 9, 146]","{""bot_profile"": ""random"", ""participant_id"": 2, ""participant_group"": ""A"", ""target"": ""banana"", ""active_channel"": ""green"", ""active_index"": 1, ""starting_values"": [205, 194, 146], ""submitted_channel_response"": 9, ""response_distance_from_start"": 185}",True,"[205, 194, 146]"
,"{""profile_metadata"": {""bot_profile"": ""random"", ""participant_id"": 2, ""participant_group"": ""A"", ""target"": ""rock"", ""active_channel"": ""green"", ""active_index"": 1, ""starting_values"": [125, 212, 146], ""submitted_channel_response"": 105, ""response_distance_from_start"": 107}, ""async_post_trial_completed"": true}",12,2026-06-15 09:30:19,False,,,CustomTrial,3,3,,True,3,2,3,gibbs_demo,"{""vector"": [125, 212, 146], ""initial_index"": 1, ""active_index"": 1, ""reverse_scale"": false}",True,True,,0.0,,105,False,19,0.0,3.0,5.0,25.0,30.0,5.0,0.41666666666666663,0.49999999999999994,True,True,True,False,0,default,CustomTrial,Info,"[125, 212, 146]",1,1,False,"[125, 105, 146]","{""bot_profile"": ""random"", ""participant_id"": 2, ""participant_group"": ""A"", ""target"": ""rock"", ""active_channel"": ""green"", ""active_index"": 1, ""starting_values"": [125, 212, 146], ""submitted_channel_response"": 105, ""response_distance_from_start"": 107}",True,"[125, 212, 146]"
,"{""profile_metadata"": {""bot_profile"": ""random"", ""participant_id"": 2, ""participant_group"": ""A"", ""target"": ""banana"", ""active_channel"": ""green"", ""active_index"": 1, ""starting_values"": [205, 194, 146], ""submitted_channel_response"": 168, ""response_distance_from_start"": 26}, ""async_post_trial_completed"": true}",13,2026-06-15 09:30:19,False,,,CustomTrial,7,7,,True,7,2,3,gibbs_demo,"{""vector"": [205, 194, 146], ""initial_index"": 1, ""active_index"": 1, ""reverse_scale"": false}",True,True,,0.0,,168,False,20,1.0,3.0,5.0,30.0,35.0,5.0,0.49999999999999994,0.5833333333333333,True,True,True,False,0,default,CustomTrial,Info,"[205, 194, 146]",1,1,False,"[205, 168, 146]","{""bot_profile"": ""random"", ""participant_id"": 2, ""participant_group"": ""A"", ""target"": ""banana"", ""active_channel"": ""green"", ""active_index"": 1, ""starting_values"": [205, 194, 146], ""submitted_channel_response"": 168, ""response_distance_from_start"": 26}",True,"[205, 194, 146]"
,"{""profile_metadata"": {""bot_profile"": ""random"", ""participant_id"": 2, ""participant_group"": ""A"", ""target"": ""carrot"", ""active_channel"": ""green"", ""active_index"": 1, ""starting_values"": [135, 190, 38], ""submitted_channel_response"": 129, ""response_distance_from_start"": 61}, ""async_post_trial_completed"": true}",14,2026-06-15 09:30:19,False,,,CustomTrial,5,5,,True,5,2,3,gibbs_demo,"{""vector"": [135, 190, 38], ""initial_index"": 1, ""active_index"": 1, ""reverse_scale"": true}",True,True,,0.0,,129,False,21,2.0,3.0,5.0,35.0,40.0,5.0,0.5833333333333333,0.6666666666666666,True,True,True,False,0,default,CustomTrial,Info,"[135, 190, 38]",1,1,True,"[135, 129, 38]","{""bot_profile"": ""random"", ""participant_id"": 2, ""participant_group"": ""A"", ""target"": ""carrot"", ""active_channel"": ""green"", ""active_index"": 1, ""starting_values"": [135, 190, 38], ""submitted_channel_response"": 129, ""response_distance_from_start"": 61}",True,"[135, 190, 38]"
{},"{""profile_metadata"": {""bot_profile"": ""normal_rgb"", ""participant_id"": 3, ""participant_group"": ""B"", ""target"": ""carrot"", ""active_channel"": ""blue"", ""active_index"": 2, ""starting_values"": [233, 143, 184], ""submitted_channel_response"": 202, ""response_distance_from_start"": 18}, ""async_post_trial_completed"": true}",15,2026-06-15 09:30:20,False,,,CustomTrial,6,6,,True,6,3,5,gibbs_demo,"{""vector"": [233, 143, 184], ""initial_index"": 2, ""active_index"": 2, ""reverse_scale"": true}",True,False,,0.0,20.0,202,False,28,,,5.0,5.0,10.0,5.0,0.08333333333333333,0.16666666666666666,True,True,True,False,0,default,CustomTrial,Info,"[233, 143, 184]",2,2,True,"[233, 143, 202]","{""bot_profile"": ""normal_rgb"", ""participant_id"": 3, ""participant_group"": ""B"", ""target"": ""carrot"", ""active_channel"": ""blue"", ""active_index"": 2, ""starting_values"": [233, 143, 184], ""submitted_channel_response"": 202, ""response_distance_from_start"": 18}",True,"[233, 143, 184]"
{},"{""profile_metadata"": {""bot_profile"": ""normal_rgb"", ""participant_id"": 3, ""participant_group"": ""B"", ""target"": ""banana"", ""active_channel"": ""green"", ""active_index"": 1, ""starting_values"": [25, 101, 33], ""submitted_channel_response"": 46, ""response_distance_from_start"": 55}, ""async_post_trial_completed"": true}",16,2026-06-15 09:30:20,False,,,CustomTrial,8,8,,True,8,3,5,gibbs_demo,"{""vector"": [25, 101, 33], ""initial_index"": 1, ""active_index"": 1, ""reverse_scale"": true}",True,False,,0.0,19.0,46,False,29,,,5.0,10.0,15.0,5.0,0.16666666666666666,0.25,True,True,True,False,0,default,CustomTrial,Info,"[25, 101, 33]",1,1,True,"[25, 46, 33]","{""bot_profile"": ""normal_rgb"", ""participant_id"": 3, ""participant_group"": ""B"", ""target"": ""banana"", ""active_channel"": ""green"", ""active_index"": 1, ""starting_values"": [25, 101, 33], ""submitted_channel_response"": 46, ""response_distance_from_start"": 55}",True,"[25, 101, 33]"
{},"{""profile_metadata"": {""bot_profile"": ""normal_rgb"", ""participant_id"": 3, ""participant_group"": ""B"", ""target"": ""rock"", ""active_channel"": ""blue"", ""active_index"": 2, ""starting_values"": [216, 122, 30], ""submitted_channel_response"": 77, ""response_distance_from_start"": 47}, ""async_post_trial_completed"": true}",17,2026-06-15 09:30:20,False,,,CustomTrial,4,4,,True,4,3,5,gibbs_demo,"{""vector"": [216, 122, 30], ""initial_index"": 2, ""active_index"": 2, ""reverse_scale"": false}",True,False,,0.0,21.0,77,False,30,,,5.0,15.0,20.0,5.0,0.25,0.3333333333333333,True,True,True,False,0,default,CustomTrial,Info,"[216, 122, 30]",2,2,False,"[216, 122, 77]","{""bot_profile"": ""normal_rgb"", ""participant_id"": 3, ""participant_group"": ""B"", ""target"": ""rock"", ""active_channel"": ""blue"", ""active_index"": 2, ""starting_values"": [216, 122, 30], ""submitted_channel_response"": 77, ""response_distance_from_start"": 47}",True,"[216, 122, 30]"
{},"{""profile_metadata"": {""bot_profile"": ""normal_rgb"", ""participant_id"": 3, ""participant_group"": ""B"", ""target"": ""tree"", ""active_channel"": ""blue"", ""active_index"": 2, ""starting_values"": [115, 76, 206], ""submitted_channel_response"": 208, ""response_distance_from_start"": 2}, ""async_post_trial_completed"": true}",18,2026-06-15 09:30:21,False,,,CustomTrial,2,2,,True,2,3,5,gibbs_demo,"{""vector"": [115, 76, 206], ""initial_index"": 2, ""active_index"": 2, ""reverse_scale"": false}",True,False,,0.0,,208,False,31,,,5.0,20.0,25.0,5.0,0.3333333333333333,0.41666666666666663,True,True,True,False,0,default,CustomTrial,Info,"[115, 76, 206]",2,2,False,"[115, 76, 208]","{""bot_profile"": ""normal_rgb"", ""participant_id"": 3, ""participant_group"": ""B"", ""target"": ""tree"", ""active_channel"": ""blue"", ""active_index"": 2, ""starting_values"": [115, 76, 206], ""submitted_channel_response"": 208, ""response_distance_from_start"": 2}",True,"[115, 76, 206]"
,"{""profile_metadata"": {""bot_profile"": ""normal_rgb"", ""participant_id"": 3, ""participant_group"": ""B"", ""target"": ""banana"", ""active_channel"": ""green"", ""active_index"": 1, ""starting_values"": [25, 101, 33], ""submitted_channel_response"": 39, ""response_distance_from_start"": 62}, ""async_post_trial_completed"": true}",19,2026-06-15 09:30:21,False,,,CustomTrial,8,8,,True,8,3,5,gibbs_demo,"{""vector"": [25, 101, 33], ""initial_index"": 1, ""active_index"": 1, ""reverse_scale"": true}",True,True,,0.0,,39,False,32,0.0,3.0,5.0,25.0,30.0,5.0,0.41666666666666663,0.49999999999999994,True,True,True,False,0,default,CustomTrial,Info,"[25, 101, 33]",1,1,True,"[25, 39, 33]","{""bot_profile"": ""normal_rgb"", ""participant_id"": 3, ""participant_group"": ""B"", ""target"": ""banana"", ""active_channel"": ""green"", ""active_index"": 1, ""starting_values"": [25, 101, 33], ""submitted_channel_response"": 39, ""response_distance_from_start"": 62}",True,"[25, 101, 33]"
,"{""profile_metadata"": {""bot_profile"": ""normal_rgb"", ""participant_id"": 3, ""participant_group"": ""B"", ""target"": ""carrot"", ""active_channel"": ""blue"", ""active_index"": 2, ""starting_values"": [233, 143, 184], ""submitted_channel_response"": 235, ""response_distance_from_start"": 51}, ""async_post_trial_completed"": true}",20,2026-06-15 09:30:21,False,,,CustomTrial,6,6,,True,6,3,5,gibbs_demo,"{""vector"": [233, 143, 184], ""initial_index"": 2, ""active_index"": 2, ""reverse_scale"": true}",True,True,,0.0,,235,False,33,1.0,3.0,5.0,30.0,35.0,5.0,0.49999999999999994,0.5833333333333333,True,True,True,False,0,default,CustomTrial,Info,"[233, 143, 184]",2,2,True,"[233, 143, 235]","{""bot_profile"": ""normal_rgb"", ""participant_id"": 3, ""participant_group"": ""B"", ""target"": ""carrot"", ""active_channel"": ""blue"", ""active_index"": 2, ""starting_values"": [233, 143, 184], ""submitted_channel_response"": 235, ""response_distance_from_start"": 51}",True,"[233, 143, 184]"
,"{""profile_metadata"": {""bot_profile"": ""normal_rgb"", ""participant_id"": 3, ""participant_group"": ""B"", ""target"": ""rock"", ""active_channel"": ""blue"", ""active_index"": 2, ""starting_values"": [216, 122, 30], ""submitted_channel_response"": 36, ""response_distance_from_start"": 6}, ""async_post_trial_completed"": true}",21,2026-06-15 09:30:21,False,,,CustomTrial,4,4,,True,4,3,5,gibbs_demo,"{""vector"": [216, 122, 30], ""initial_index"": 2, ""active_index"": 2, ""reverse_scale"": false}",True,True,,0.0,,36,False,34,2.0,3.0,5.0,35.0,40.0,5.0,0.5833333333333333,0.6666666666666666,True,True,True,False,0,default,CustomTrial,Info,"[216, 122, 30]",2,2,False,"[216, 122, 36]","{""bot_profile"": ""normal_rgb"", ""participant_id"": 3, ""participant_group"": ""B"", ""target"": ""rock"", ""active_channel"": ""blue"", ""active_index"": 2, ""starting_values"": [216, 122, 30], ""submitted_channel_response"": 36, ""response_distance_from_start"": 6}",True,"[216, 122, 30]"
{},"{""profile_metadata"": {""bot_profile"": ""normal_rgb"", ""participant_id"": 4, ""participant_group"": ""A"", ""target"": ""banana"", ""active_channel"": ""green"", ""active_index"": 1, ""starting_values"": [205, 127, 146], ""submitted_channel_response"": 140, ""response_distance_from_start"": 13}, ""async_post_trial_completed"": true}",22,2026-06-15 09:30:22,False,,,CustomTrial,7,7,,True,7,4,7,gibbs_demo,"{""vector"": [205, 127, 146], ""initial_index"": 1, ""active_index"": 1, ""reverse_scale"": false}",True,False,,0.0,28.0,140,False,41,,,5.0,5.0,10.0,5.0,0.08333333333333333,0.16666666666666666,True,True,True,False,0,default,CustomTrial,Info,"[205, 127, 146]",1,1,False,"[205, 140, 146]","{""bot_profile"": ""normal_rgb"", ""participant_id"": 4, ""participant_group"": ""A"", ""target"": ""banana"", ""active_channel"": ""green"", ""active_index"": 1, ""starting_values"": [205, 127, 146], ""submitted_channel_response"": 140, ""response_distance_from_start"": 13}",True,"[205, 127, 146]"
{},"{""profile_metadata"": {""bot_profile"": ""normal_rgb"", ""participant_id"": 4, ""participant_group"": ""A"", ""target"": ""carrot"", ""active_channel"": ""green"", ""active_index"": 1, ""starting_values"": [135, 174, 38], ""submitted_channel_response"": 161, ""response_distance_from_start"": 13}, ""async_post_trial_completed"": true}",23,2026-06-15 09:30:22,False,,,CustomTrial,5,5,,True,5,4,7,gibbs_demo,"{""vector"": [135, 174, 38], ""initial_index"": 1, ""active_index"": 1, ""reverse_scale"": false}",True,False,,0.0,,161,False,42,,,5.0,10.0,15.0,5.0,0.16666666666666666,0.25,True,True,True,False,0,default,CustomTrial,Info,"[135, 174, 38]",1,1,False,"[135, 161, 38]","{""bot_profile"": ""normal_rgb"", ""participant_id"": 4, ""participant_group"": ""A"", ""target"": ""carrot"", ""active_channel"": ""green"", ""active_index"": 1, ""starting_values"": [135, 174, 38], ""submitted_channel_response"": 161, ""response_distance_from_start"": 13}",True,"[135, 174, 38]"
{},"{""profile_metadata"": {""bot_profile"": ""normal_rgb"", ""participant_id"": 4, ""participant_group"": ""A"", ""target"": ""rock"", ""active_channel"": ""green"", ""active_index"": 1, ""starting_values"": [125, 252, 146], ""submitted_channel_response"": 255, ""response_distance_from_start"": 3}, ""async_post_trial_completed"": true}",24,2026-06-15 09:30:23,False,,,CustomTrial,3,3,,True,3,4,7,gibbs_demo,"{""vector"": [125, 252, 146], ""initial_index"": 1, ""active_index"": 1, ""reverse_scale"": false}",True,False,,0.0,27.0,255,False,43,,,5.0,15.0,20.0,5.0,0.25,0.3333333333333333,True,True,True,False,0,default,CustomTrial,Info,"[125, 252, 146]",1,1,False,"[125, 255, 146]","{""bot_profile"": ""normal_rgb"", ""participant_id"": 4, ""participant_group"": ""A"", ""target"": ""rock"", ""active_channel"": ""green"", ""active_index"": 1, ""starting_values"": [125, 252, 146], ""submitted_channel_response"": 255, ""response_distance_from_start"": 3}",True,"[125, 252, 146]"
{},"{""profile_metadata"": {""bot_profile"": ""normal_rgb"", ""participant_id"": 4, ""participant_group"": ""A"", ""target"": ""tree"", ""active_channel"": ""green"", ""active_index"": 1, ""starting_values"": [148, 37, 176], ""submitted_channel_response"": 0, ""response_distance_from_start"": 37}, ""async_post_trial_completed"": true}",25,2026-06-15 09:30:23,False,,,CustomTrial,1,1,,True,1,4,7,gibbs_demo,"{""vector"": [148, 37, 176], ""initial_index"": 1, ""active_index"": 1, ""reverse_scale"": false}",True,False,,0.0,26.0,0,False,44,,,5.0,20.0,25.0,5.0,0.3333333333333333,0.41666666666666663,True,True,True,False,0,default,CustomTrial,Info,"[148, 37, 176]",1,1,False,"[148, 0, 176]","{""bot_profile"": ""normal_rgb"", ""participant_id"": 4, ""participant_group"": ""A"", ""target"": ""tree"", ""active_channel"": ""green"", ""active_index"": 1, ""starting_values"": [148, 37, 176], ""submitted_channel_response"": 0, ""response_distance_from_start"": 37}",True,"[148, 37, 176]"
,"{""profile_metadata"": {""bot_profile"": ""normal_rgb"", ""participant_id"": 4, ""participant_group"": ""A"", ""target"": ""tree"", ""active_channel"": ""green"", ""active_index"": 1, ""starting_values"": [148, 37, 176], ""submitted_channel_response"": 72, ""response_distance_from_start"": 35}, ""async_post_trial_completed"": true}",26,2026-06-15 09:30:23,False,,,CustomTrial,1,1,,True,1,4,7,gibbs_demo,"{""vector"": [148, 37, 176], ""initial_index"": 1, ""active_index"": 1, ""reverse_scale"": false}",True,True,,0.0,,72,False,45,0.0,3.0,5.0,25.0,30.0,5.0,0.41666666666666663,0.49999999999999994,True,True,True,False,0,default,CustomTrial,Info,"[148, 37, 176]",1,1,False,"[148, 72, 176]","{""bot_profile"": ""normal_rgb"", ""participant_id"": 4, ""participant_group"": ""A"", ""target"": ""tree"", ""active_channel"": ""green"", ""active_index"": 1, ""starting_values"": [148, 37, 176], ""submitted_channel_response"": 72, ""response_distance_from_start"": 35}",True,"[148, 37, 176]"
,"{""profile_metadata"": {""bot_profile"": ""normal_rgb"", ""participant_id"": 4, ""participant_group"": ""A"", ""target"": ""rock"", ""active_channel"": ""green"", ""active_index"": 1, ""starting_values"": [125, 252, 146], ""submitted_channel_response"": 255, ""response_distance_from_start"": 3}, ""async_post_trial_completed"": true}",27,2026-06-15 09:30:23,False,,,CustomTrial,3,3,,True,3,4,7,gibbs_demo,"{""vector"": [125, 252, 146], ""initial_index"": 1, ""active_index"": 1, ""reverse_scale"": false}",True,True,,0.0,,255,False,46,1.0,3.0,5.0,30.0,35.0,5.0,0.49999999999999994,0.5833333333333333,True,True,True,False,0,default,CustomTrial,Info,"[125, 252, 146]",1,1,False,"[125, 255, 146]","{""bot_profile"": ""normal_rgb"", ""participant_id"": 4, ""participant_group"": ""A"", ""target"": ""rock"", ""active_channel"": ""green"", ""active_index"": 1, ""starting_values"": [125, 252, 146], ""submitted_channel_response"": 255, ""response_distance_from_start"": 3}",True,"[125, 252, 146]"
