trial_id,participant_id,run_id,revision,profile,position,pair_id,condition,cue,target,semantic_lure,recent_lure,neutral_lure,answer,answer_role,correct,response_time_ms,prompt
revised-T0049,revised-P31,revised,revised,mock_llm_memory_limited,1,L01,literal,orchard,apple,pear,window,hammer,apple,target,1,2098,"Remember: recent words from other pairs can be traps. Cue: orchard. Choices: apple, pear, window, hammer. Return exactly one choice."
revised-T0050,revised-P31,revised,revised,mock_llm_memory_limited,2,L02,literal,harbor,anchor,sail,apple,velvet,anchor,target,1,1818,"Remember: recent words from other pairs can be traps. Cue: harbor. Choices: anchor, sail, apple, velvet. Return exactly one choice."
revised-T0051,revised-P31,revised,revised,mock_llm_memory_limited,3,L03,literal,library,book,paper,anchor,cactus,book,target,1,2040,"Remember: recent words from other pairs can be traps. Cue: library. Choices: book, paper, anchor, cactus. Return exactly one choice."
revised-T0052,revised-P31,revised,revised,mock_llm_memory_limited,4,L04,literal,kitchen,spoon,fork,book,planet,spoon,target,1,2113,"Remember: recent words from other pairs can be traps. Cue: kitchen. Choices: spoon, fork, book, planet. Return exactly one choice."
revised-T0053,revised-P31,revised,revised,mock_llm_memory_limited,5,I01,interference,garden,window,flower,spoon,violin,spoon,recent_lure,0,2070,"Remember: recent words from other pairs can be traps. Cue: garden. Choices: window, flower, spoon, violin. Return exactly one choice."
revised-T0054,revised-P31,revised,revised,mock_llm_memory_limited,6,I02,interference,school,pencil,teacher,window,river,pencil,target,1,2144,"Remember: recent words from other pairs can be traps. Cue: school. Choices: pencil, teacher, window, river. Return exactly one choice."
revised-T0055,revised-P31,revised,revised,mock_llm_memory_limited,7,I03,interference,desert,cactus,sand,pencil,pillow,pencil,recent_lure,0,2034,"Remember: recent words from other pairs can be traps. Cue: desert. Choices: cactus, sand, pencil, pillow. Return exactly one choice."
revised-T0056,revised-P31,revised,revised,mock_llm_memory_limited,8,I04,interference,market,basket,coin,cactus,cloud,basket,target,1,2111,"Remember: recent words from other pairs can be traps. Cue: market. Choices: basket, coin, cactus, cloud. Return exactly one choice."
revised-T0057,revised-P32,revised,revised,mock_llm_memory_limited,1,L01,literal,orchard,apple,pear,window,hammer,apple,target,1,2012,"Remember: recent words from other pairs can be traps. Cue: orchard. Choices: apple, pear, window, hammer. Return exactly one choice."
revised-T0058,revised-P32,revised,revised,mock_llm_memory_limited,2,L02,literal,harbor,anchor,sail,apple,velvet,anchor,target,1,2094,"Remember: recent words from other pairs can be traps. Cue: harbor. Choices: anchor, sail, apple, velvet. Return exactly one choice."
revised-T0059,revised-P32,revised,revised,mock_llm_memory_limited,3,L03,literal,library,book,paper,anchor,cactus,book,target,1,1835,"Remember: recent words from other pairs can be traps. Cue: library. Choices: book, paper, anchor, cactus. Return exactly one choice."
revised-T0060,revised-P32,revised,revised,mock_llm_memory_limited,4,L04,literal,kitchen,spoon,fork,book,planet,spoon,target,1,1857,"Remember: recent words from other pairs can be traps. Cue: kitchen. Choices: spoon, fork, book, planet. Return exactly one choice."
revised-T0061,revised-P32,revised,revised,mock_llm_memory_limited,5,I01,interference,garden,window,flower,spoon,violin,window,target,1,2356,"Remember: recent words from other pairs can be traps. Cue: garden. Choices: window, flower, spoon, violin. Return exactly one choice."
revised-T0062,revised-P32,revised,revised,mock_llm_memory_limited,6,I02,interference,school,pencil,teacher,window,river,pencil,target,1,2290,"Remember: recent words from other pairs can be traps. Cue: school. Choices: pencil, teacher, window, river. Return exactly one choice."
revised-T0063,revised-P32,revised,revised,mock_llm_memory_limited,7,I03,interference,desert,cactus,sand,pencil,pillow,cactus,target,1,2045,"Remember: recent words from other pairs can be traps. Cue: desert. Choices: cactus, sand, pencil, pillow. Return exactly one choice."
revised-T0064,revised-P32,revised,revised,mock_llm_memory_limited,8,I04,interference,market,basket,coin,cactus,cloud,basket,target,1,2315,"Remember: recent words from other pairs can be traps. Cue: market. Choices: basket, coin, cactus, cloud. Return exactly one choice."
revised-T0065,revised-P33,revised,revised,mock_llm_memory_limited,1,L01,literal,orchard,apple,pear,window,hammer,apple,target,1,1835,"Remember: recent words from other pairs can be traps. Cue: orchard. Choices: apple, pear, window, hammer. Return exactly one choice."
revised-T0066,revised-P33,revised,revised,mock_llm_memory_limited,2,L02,literal,harbor,anchor,sail,apple,velvet,anchor,target,1,1879,"Remember: recent words from other pairs can be traps. Cue: harbor. Choices: anchor, sail, apple, velvet. Return exactly one choice."
revised-T0067,revised-P33,revised,revised,mock_llm_memory_limited,3,L03,literal,library,book,paper,anchor,cactus,book,target,1,1841,"Remember: recent words from other pairs can be traps. Cue: library. Choices: book, paper, anchor, cactus. Return exactly one choice."
revised-T0068,revised-P33,revised,revised,mock_llm_memory_limited,4,L04,literal,kitchen,spoon,fork,book,planet,spoon,target,1,1929,"Remember: recent words from other pairs can be traps. Cue: kitchen. Choices: spoon, fork, book, planet. Return exactly one choice."
revised-T0069,revised-P33,revised,revised,mock_llm_memory_limited,5,I01,interference,garden,window,flower,spoon,violin,window,target,1,2321,"Remember: recent words from other pairs can be traps. Cue: garden. Choices: window, flower, spoon, violin. Return exactly one choice."
revised-T0070,revised-P33,revised,revised,mock_llm_memory_limited,6,I02,interference,school,pencil,teacher,window,river,pencil,target,1,2120,"Remember: recent words from other pairs can be traps. Cue: school. Choices: pencil, teacher, window, river. Return exactly one choice."
revised-T0071,revised-P33,revised,revised,mock_llm_memory_limited,7,I03,interference,desert,cactus,sand,pencil,pillow,pencil,recent_lure,0,2112,"Remember: recent words from other pairs can be traps. Cue: desert. Choices: cactus, sand, pencil, pillow. Return exactly one choice."
revised-T0072,revised-P33,revised,revised,mock_llm_memory_limited,8,I04,interference,market,basket,coin,cactus,cloud,basket,target,1,2293,"Remember: recent words from other pairs can be traps. Cue: market. Choices: basket, coin, cactus, cloud. Return exactly one choice."
revised-T0073,revised-P41,revised,revised,semantic_bias,1,L01,literal,orchard,apple,pear,window,hammer,pear,semantic_lure,0,1587,"Remember: recent words from other pairs can be traps. Cue: orchard. Choices: apple, pear, window, hammer. Return exactly one choice."
revised-T0074,revised-P41,revised,revised,semantic_bias,2,L02,literal,harbor,anchor,sail,apple,velvet,sail,semantic_lure,0,1580,"Remember: recent words from other pairs can be traps. Cue: harbor. Choices: anchor, sail, apple, velvet. Return exactly one choice."
revised-T0075,revised-P41,revised,revised,semantic_bias,3,L03,literal,library,book,paper,anchor,cactus,paper,semantic_lure,0,1649,"Remember: recent words from other pairs can be traps. Cue: library. Choices: book, paper, anchor, cactus. Return exactly one choice."
revised-T0076,revised-P41,revised,revised,semantic_bias,4,L04,literal,kitchen,spoon,fork,book,planet,fork,semantic_lure,0,1825,"Remember: recent words from other pairs can be traps. Cue: kitchen. Choices: spoon, fork, book, planet. Return exactly one choice."
revised-T0077,revised-P41,revised,revised,semantic_bias,5,I01,interference,garden,window,flower,spoon,violin,flower,semantic_lure,0,1700,"Remember: recent words from other pairs can be traps. Cue: garden. Choices: window, flower, spoon, violin. Return exactly one choice."
revised-T0078,revised-P41,revised,revised,semantic_bias,6,I02,interference,school,pencil,teacher,window,river,teacher,semantic_lure,0,1852,"Remember: recent words from other pairs can be traps. Cue: school. Choices: pencil, teacher, window, river. Return exactly one choice."
revised-T0079,revised-P41,revised,revised,semantic_bias,7,I03,interference,desert,cactus,sand,pencil,pillow,sand,semantic_lure,0,2064,"Remember: recent words from other pairs can be traps. Cue: desert. Choices: cactus, sand, pencil, pillow. Return exactly one choice."
revised-T0080,revised-P41,revised,revised,semantic_bias,8,I04,interference,market,basket,coin,cactus,cloud,basket,target,1,1916,"Remember: recent words from other pairs can be traps. Cue: market. Choices: basket, coin, cactus, cloud. Return exactly one choice."
revised-T0081,revised-P42,revised,revised,semantic_bias,1,L01,literal,orchard,apple,pear,window,hammer,apple,target,1,1687,"Remember: recent words from other pairs can be traps. Cue: orchard. Choices: apple, pear, window, hammer. Return exactly one choice."
revised-T0082,revised-P42,revised,revised,semantic_bias,2,L02,literal,harbor,anchor,sail,apple,velvet,sail,semantic_lure,0,1777,"Remember: recent words from other pairs can be traps. Cue: harbor. Choices: anchor, sail, apple, velvet. Return exactly one choice."
revised-T0083,revised-P42,revised,revised,semantic_bias,3,L03,literal,library,book,paper,anchor,cactus,book,target,1,1723,"Remember: recent words from other pairs can be traps. Cue: library. Choices: book, paper, anchor, cactus. Return exactly one choice."
revised-T0084,revised-P42,revised,revised,semantic_bias,4,L04,literal,kitchen,spoon,fork,book,planet,spoon,target,1,1777,"Remember: recent words from other pairs can be traps. Cue: kitchen. Choices: spoon, fork, book, planet. Return exactly one choice."
revised-T0085,revised-P42,revised,revised,semantic_bias,5,I01,interference,garden,window,flower,spoon,violin,flower,semantic_lure,0,1719,"Remember: recent words from other pairs can be traps. Cue: garden. Choices: window, flower, spoon, violin. Return exactly one choice."
revised-T0086,revised-P42,revised,revised,semantic_bias,6,I02,interference,school,pencil,teacher,window,river,pencil,target,1,1828,"Remember: recent words from other pairs can be traps. Cue: school. Choices: pencil, teacher, window, river. Return exactly one choice."
revised-T0087,revised-P42,revised,revised,semantic_bias,7,I03,interference,desert,cactus,sand,pencil,pillow,cactus,target,1,1706,"Remember: recent words from other pairs can be traps. Cue: desert. Choices: cactus, sand, pencil, pillow. Return exactly one choice."
revised-T0088,revised-P42,revised,revised,semantic_bias,8,I04,interference,market,basket,coin,cactus,cloud,coin,semantic_lure,0,2046,"Remember: recent words from other pairs can be traps. Cue: market. Choices: basket, coin, cactus, cloud. Return exactly one choice."
revised-T0089,revised-P43,revised,revised,semantic_bias,1,L01,literal,orchard,apple,pear,window,hammer,apple,target,1,1650,"Remember: recent words from other pairs can be traps. Cue: orchard. Choices: apple, pear, window, hammer. Return exactly one choice."
revised-T0090,revised-P43,revised,revised,semantic_bias,2,L02,literal,harbor,anchor,sail,apple,velvet,sail,semantic_lure,0,1764,"Remember: recent words from other pairs can be traps. Cue: harbor. Choices: anchor, sail, apple, velvet. Return exactly one choice."
revised-T0091,revised-P43,revised,revised,semantic_bias,3,L03,literal,library,book,paper,anchor,cactus,book,target,1,1782,"Remember: recent words from other pairs can be traps. Cue: library. Choices: book, paper, anchor, cactus. Return exactly one choice."
revised-T0092,revised-P43,revised,revised,semantic_bias,4,L04,literal,kitchen,spoon,fork,book,planet,fork,semantic_lure,0,1674,"Remember: recent words from other pairs can be traps. Cue: kitchen. Choices: spoon, fork, book, planet. Return exactly one choice."
revised-T0093,revised-P43,revised,revised,semantic_bias,5,I01,interference,garden,window,flower,spoon,violin,flower,semantic_lure,0,1962,"Remember: recent words from other pairs can be traps. Cue: garden. Choices: window, flower, spoon, violin. Return exactly one choice."
revised-T0094,revised-P43,revised,revised,semantic_bias,6,I02,interference,school,pencil,teacher,window,river,teacher,semantic_lure,0,1892,"Remember: recent words from other pairs can be traps. Cue: school. Choices: pencil, teacher, window, river. Return exactly one choice."
revised-T0095,revised-P43,revised,revised,semantic_bias,7,I03,interference,desert,cactus,sand,pencil,pillow,cactus,target,1,1799,"Remember: recent words from other pairs can be traps. Cue: desert. Choices: cactus, sand, pencil, pillow. Return exactly one choice."
revised-T0096,revised-P43,revised,revised,semantic_bias,8,I04,interference,market,basket,coin,cactus,cloud,coin,semantic_lure,0,1689,"Remember: recent words from other pairs can be traps. Cue: market. Choices: basket, coin, cactus, cloud. Return exactly one choice."
